freq,age,unit,sex,geo,time,value
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Austria,2017,5.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Austria,2018,5.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Austria,2019,4.8
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Austria,2020,6.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Austria,2021,6.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Austria,2022,4.8
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Austria,2023,5.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Austria,2024,5.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Austria,2025,5.7
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Poland,2014,9.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Poland,2015,7.7
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Poland,2016,6.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Poland,2017,5.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Poland,2018,3.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Poland,2019,3.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Poland,2020,3.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Poland,2021,3.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Poland,2022,2.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Poland,2023,2.8
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Poland,2024,2.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Poland,2025,3.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Portugal,2014,14.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Portugal,2015,13.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Portugal,2016,11.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Portugal,2017,9.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Portugal,2018,7.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Portugal,2019,6.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Portugal,2020,7.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Portugal,2021,6.7
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Portugal,2022,6.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Portugal,2023,6.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Portugal,2024,6.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Portugal,2025,6.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Romania,2014,8.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Romania,2015,8.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Romania,2016,7.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Romania,2017,6.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Romania,2018,5.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Romania,2019,4.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Romania,2020,6.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Romania,2021,5.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Romania,2022,5.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Romania,2023,5.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Romania,2024,5.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Romania,2025,6.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Slovenia,2014,9.7
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Slovenia,2015,9.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Slovenia,2016,8.0
