rskpovth,sex_x,geo,year,deprivation_rate,citizen,agedef,immigration_count,age,sex_y,overburden_rate,gdp_per_capita,population_density,unit,unemployment_rate,density_unemployment,gdp_unemployment,density_overburden
Total,Total,Austria,2017,4.4,Total,Age in completed years,111801.0,Total,Total,7.1,40620.0,106.8,Percentage of total population,4.0,427.2,162480.0,758.28
Total,Total,Austria,2018,3.2,Total,Age in completed years,105633.0,Total,Total,6.8,41430.0,107.1,Percentage of total population,3.6,385.56,149148.0,728.28
Total,Total,Austria,2019,3.0,Total,Age in completed years,109167.0,Total,Total,7.0,41970.0,107.6,Percentage of total population,3.3,355.08,138501.0,753.1999999999999
Total,Total,Austria,2020,3.0,Total,Age in completed years,103565.0,Total,Total,6.3,39140.0,107.6,Percentage of total population,4.1,441.1599999999999,160474.0,677.88
Total,Total,Austria,2023,4.5,Total,Age in completed years,147591.0,Total,Total,6.0,41910.0,110.7,Percentage of total population,3.5,387.45,146685.0,664.2
Total,Total,Poland,2014,9.1,Total,Age in completed years,222275.0,Total,Total,9.6,10900.0,123.7,Percentage of total population,5.5,680.35,59950.0,1187.52
Total,Total,Poland,2015,9.8,Total,Age in completed years,218147.0,Total,Total,8.7,11390.0,123.6,Percentage of total population,4.6,568.56,52393.99999999999,1075.32
Total,Total,Poland,2016,9.4,Total,Age in completed years,208302.0,Total,Total,7.7,11740.0,123.6,Percentage of total population,3.8,469.67999999999995,44612.0,951.72
Total,Total,Poland,2017,9.8,Total,Age in completed years,209353.0,Total,Total,6.7,12340.0,123.6,Percentage of total population,3.0,370.79999999999995,37020.0,828.12
Total,Total,Poland,2018,8.6,Total,Age in completed years,214083.0,Total,Total,6.2,13120.0,123.6,Percentage of total population,2.4,296.64,31488.0,766.3199999999999
Total,Total,Poland,2019,7.9,Total,Age in completed years,226649.0,Total,Total,6.0,13720.0,123.6,Percentage of total population,2.0,247.2,27440.0,741.5999999999999
Total,Total,Poland,2023,4.6,Total,Age in completed years,303275.0,Total,Total,5.9,15290.0,119.4,Percentage of total population,1.8,214.92000000000002,27522.0,704.46
Total,Total,Portugal,2014,5.5,Total,Age in completed years,23077.0,Total,Total,9.2,16950.0,112.8,Percentage of total population,9.2,1037.76,155940.0,1037.76
