rskpovth,age,sex,geo,year,overburden_rate
Total,Total,Total,Norway,2023,13.9
Total,Total,Total,Norway,2024,15.4
Total,Total,Total,Norway,2025,13.5
Total,Total,Total,Switzerland,2009,13.2
Total,Total,Total,Switzerland,2010,14.1
Total,Total,Total,Switzerland,2011,13.1
Total,Total,Total,Switzerland,2012,12.1
Total,Total,Total,Switzerland,2013,10.6
Total,Total,Total,Switzerland,2014,11.7
Total,Total,Total,Switzerland,2015,11.7
Total,Total,Total,Switzerland,2016,12.0
Total,Total,Total,Switzerland,2017,12.7
Total,Total,Total,Switzerland,2018,12.8
Total,Total,Total,Switzerland,2019,14.2
Total,Total,Total,Switzerland,2020,13.6
Total,Total,Total,Switzerland,2021,14.8
Total,Total,Total,Switzerland,2022,13.4
Total,Total,Total,Switzerland,2023,14.2
Total,Total,Total,Switzerland,2024,15.3
Total,Total,Total,United Kingdom,2005,14.7
Total,Total,Total,United Kingdom,2006,16.4
Total,Total,Total,United Kingdom,2007,16.3
Total,Total,Total,United Kingdom,2008,16.3
Total,Total,Total,United Kingdom,2009,16.3
Total,Total,Total,United Kingdom,2010,16.5
Total,Total,Total,United Kingdom,2011,16.4
Total,Total,Total,United Kingdom,2012,7.3
Total,Total,Total,United Kingdom,2013,7.9
Total,Total,Total,United Kingdom,2014,12.5
Total,Total,Total,United Kingdom,2015,12.4
Total,Total,Total,United Kingdom,2016,12.3
Total,Total,Total,United Kingdom,2017,12.4
Total,Total,Total,United Kingdom,2018,15.1
Total,Total,Total,Montenegro,2013,19.8
Total,Total,Total,Montenegro,2014,16.9
Total,Total,Total,Montenegro,2015,16.8
Total,Total,Total,Montenegro,2016,16.5
Total,Total,Total,Montenegro,2017,15.1
Total,Total,Total,Montenegro,2018,14.7
Total,Total,Total,Montenegro,2019,11.7
Total,Total,Total,Montenegro,2020,9.4
Total,Total,Total,Montenegro,2021,8.0
Total,Total,Total,Montenegro,2022,5.8
Total,Total,Total,Montenegro,2023,6.1
Total,Total,Total,North Macedonia,2011,19.5
Total,Total,Total,North Macedonia,2012,20.1
Total,Total,Total,North Macedonia,2013,17.6
Total,Total,Total,North Macedonia,2014,15.6
Total,Total,Total,North Macedonia,2015,12.3
Total,Total,Total,North Macedonia,2016,12.5
Total,Total,Total,North Macedonia,2017,11.7
Total,Total,Total,North Macedonia,2018,10.2
Total,Total,Total,North Macedonia,2019,9.9
Total,Total,Total,North Macedonia,2020,8.5
Total,Total,Total,North Macedonia,2021,7.8
Total,Total,Total,North Macedonia,2022,8.9
Total,Total,Total,North Macedonia,2023,8.5
